identificadorArchivo,archivoOrigen,arquitectura,particion,indiceChunk,filasValidas,rutaParquetChunk,fechaActualizacion
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,10,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00010.parquet,2026-03-15T16:34:17.060586+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,11,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00011.parquet,2026-03-15T16:34:17.192583+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,12,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00012.parquet,2026-03-15T16:34:17.321416+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,13,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00013.parquet,2026-03-15T16:34:17.452251+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,14,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00014.parquet,2026-03-15T16:34:17.582663+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,15,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00015.parquet,2026-03-15T16:34:17.731134+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,16,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00016.parquet,2026-03-15T16:34:17.861406+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,17,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00017.parquet,2026-03-15T16:34:17.992539+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,18,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00018.parquet,2026-03-15T16:34:18.126914+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,19,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00019.parquet,2026-03-15T16:34:18.260270+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,20,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00020.parquet,2026-03-15T16:34:18.394797+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,21,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00021.parquet,2026-03-15T16:34:18.523843+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,22,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00022.parquet,2026-03-15T16:34:18.664864+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,23,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00023.parquet,2026-03-15T16:34:18.801909+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,24,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00024.parquet,2026-03-15T16:34:18.931642+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,25,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00025.parquet,2026-03-15T16:34:19.062875+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,26,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00026.parquet,2026-03-15T16:34:19.198738+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,27,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00027.parquet,2026-03-15T16:34:19.327230+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,28,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00028.parquet,2026-03-15T16:34:19.455591+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,29,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00029.parquet,2026-03-15T16:34:19.583747+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,30,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00030.parquet,2026-03-15T16:34:19.738758+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,31,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00031.parquet,2026-03-15T16:34:19.867732+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,32,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00032.parquet,2026-03-15T16:34:19.993988+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,33,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00033.parquet,2026-03-15T16:34:20.129223+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,34,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00034.parquet,2026-03-15T16:34:20.262603+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,35,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00035.parquet,2026-03-15T16:34:20.389180+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,36,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00036.parquet,2026-03-15T16:34:20.516764+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,37,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00037.parquet,2026-03-15T16:34:20.649212+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,38,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00038.parquet,2026-03-15T16:34:20.797940+00:00
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,39,1500,artefactos/ember2024/parquetSeleccionado/97902f7024e48d57/chunk_00039.parquet,2026-03-15T16:34:20.933794+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,0,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00000.parquet,2026-03-15T16:34:21.079956+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,1,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00001.parquet,2026-03-15T16:34:21.213332+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,2,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00002.parquet,2026-03-15T16:34:21.346077+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,3,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00003.parquet,2026-03-15T16:34:21.476851+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,4,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00004.parquet,2026-03-15T16:34:21.618528+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,5,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00005.parquet,2026-03-15T16:34:21.756319+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,6,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00006.parquet,2026-03-15T16:34:21.886687+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,7,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00007.parquet,2026-03-15T16:34:22.020593+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,8,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00008.parquet,2026-03-15T16:34:22.161094+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,9,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00009.parquet,2026-03-15T16:34:22.289622+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,10,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00010.parquet,2026-03-15T16:34:22.417327+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,11,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00011.parquet,2026-03-15T16:34:22.541549+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,12,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00012.parquet,2026-03-15T16:34:22.672264+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,13,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00013.parquet,2026-03-15T16:34:22.806611+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,14,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00014.parquet,2026-03-15T16:34:22.933265+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,15,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00015.parquet,2026-03-15T16:34:23.063771+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,16,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00016.parquet,2026-03-15T16:34:23.199526+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,17,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00017.parquet,2026-03-15T16:34:23.326409+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,18,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00018.parquet,2026-03-15T16:34:23.459584+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,19,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00019.parquet,2026-03-15T16:34:23.587178+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,20,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00020.parquet,2026-03-15T16:34:23.724074+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,21,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00021.parquet,2026-03-15T16:34:23.852941+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,22,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00022.parquet,2026-03-15T16:34:23.980950+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,23,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00023.parquet,2026-03-15T16:34:24.111566+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,24,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00024.parquet,2026-03-15T16:34:24.243929+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,25,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00025.parquet,2026-03-15T16:34:24.388205+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,26,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00026.parquet,2026-03-15T16:34:24.522182+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,27,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00027.parquet,2026-03-15T16:34:24.654256+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,28,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00028.parquet,2026-03-15T16:34:24.791621+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,29,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00029.parquet,2026-03-15T16:34:24.924486+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,30,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00030.parquet,2026-03-15T16:34:25.060262+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,31,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00031.parquet,2026-03-15T16:34:25.198633+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,32,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00032.parquet,2026-03-15T16:34:25.340904+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,33,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00033.parquet,2026-03-15T16:34:25.474090+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,34,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00034.parquet,2026-03-15T16:34:25.604466+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,35,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00035.parquet,2026-03-15T16:34:25.741127+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,36,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00036.parquet,2026-03-15T16:34:25.868748+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,37,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00037.parquet,2026-03-15T16:34:26.000878+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,38,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00038.parquet,2026-03-15T16:34:26.134676+00:00
2adea5a491ab4b3f,2024-09-29_2024-10-05_Win32_test.jsonl,Win32,test,39,1500,artefactos/ember2024/parquetSeleccionado/2adea5a491ab4b3f/chunk_00039.parquet,2026-03-15T16:34:26.264553+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,0,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00000.parquet,2026-03-15T16:34:26.393593+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,1,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00001.parquet,2026-03-15T16:34:26.520460+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,2,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00002.parquet,2026-03-15T16:34:26.649570+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,3,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00003.parquet,2026-03-15T16:34:26.782463+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,4,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00004.parquet,2026-03-15T16:34:26.917180+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,5,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00005.parquet,2026-03-15T16:34:27.047290+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,6,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00006.parquet,2026-03-15T16:34:27.168734+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,7,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00007.parquet,2026-03-15T16:34:27.297800+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,8,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00008.parquet,2026-03-15T16:34:27.436786+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,9,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00009.parquet,2026-03-15T16:34:27.568332+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,10,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00010.parquet,2026-03-15T16:34:27.698397+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,11,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00011.parquet,2026-03-15T16:34:27.851041+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,12,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00012.parquet,2026-03-15T16:34:27.975161+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,13,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00013.parquet,2026-03-15T16:34:28.111115+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,14,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00014.parquet,2026-03-15T16:34:28.240173+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,15,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00015.parquet,2026-03-15T16:34:28.376962+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,16,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00016.parquet,2026-03-15T16:34:28.513084+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,17,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00017.parquet,2026-03-15T16:34:28.640138+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,18,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00018.parquet,2026-03-15T16:34:28.774338+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,19,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00019.parquet,2026-03-15T16:34:28.906481+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,20,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00020.parquet,2026-03-15T16:34:29.038285+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,21,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00021.parquet,2026-03-15T16:34:29.178156+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,22,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00022.parquet,2026-03-15T16:34:29.315979+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,23,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00023.parquet,2026-03-15T16:34:29.467462+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,24,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00024.parquet,2026-03-15T16:34:29.602171+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,25,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00025.parquet,2026-03-15T16:34:29.735344+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,26,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00026.parquet,2026-03-15T16:34:29.867930+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,27,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00027.parquet,2026-03-15T16:34:30.000055+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,28,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00028.parquet,2026-03-15T16:34:30.252267+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,29,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00029.parquet,2026-03-15T16:34:30.459195+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,30,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00030.parquet,2026-03-15T16:34:30.674215+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,31,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00031.parquet,2026-03-15T16:34:30.824582+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,32,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00032.parquet,2026-03-15T16:34:30.998490+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,33,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00033.parquet,2026-03-15T16:34:31.166129+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,34,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00034.parquet,2026-03-15T16:34:31.330337+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,35,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00035.parquet,2026-03-15T16:34:31.544446+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,36,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00036.parquet,2026-03-15T16:34:31.690882+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,37,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00037.parquet,2026-03-15T16:34:31.857024+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,38,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00038.parquet,2026-03-15T16:34:31.989041+00:00
4669059f5848cef4,2024-10-06_2024-10-12_Win32_test.jsonl,Win32,test,39,1500,artefactos/ember2024/parquetSeleccionado/4669059f5848cef4/chunk_00039.parquet,2026-03-15T16:34:32.128389+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,0,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00000.parquet,2026-03-15T16:34:32.312082+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,1,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00001.parquet,2026-03-15T16:34:32.489777+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,2,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00002.parquet,2026-03-15T16:34:32.630774+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,3,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00003.parquet,2026-03-15T16:34:32.825653+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,4,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00004.parquet,2026-03-15T16:34:32.969256+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,5,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00005.parquet,2026-03-15T16:34:33.098138+00:00
f0e13aa696b0f49e,2024-10-13_2024-10-19_Win32_test.jsonl,Win32,test,6,1500,artefactos/ember2024/parquetSeleccionado/f0e13aa696b0f49e/chunk_00006.parquet,2026-03-15T16:34:33.270358+00:00
