caracteristica,mutualInformation,importanciaExtraTrees,rankMi,rankBosque,scoreCombinado
authenticodeSigningTimeDiff,0.21717822707379741,0.003408672522598258,34.0,61.0,-95.0
byteentropyDesviacion,0.3049994506933693,0.0026770768168970804,12.0,83.0,-95.0
headerOptionalChecksum,0.3274129510767556,0.002554988120596488,9.0,91.0,-100.0
sectionVsizeTotal,0.44467620439256605,0.002383589006691332,5.0,97.0,-102.0
authenticodeEmptyProgramName,0.044844999362547266,0.015999051987998947,91.0,13.0,-104.0
sectionPropsDistintos,0.15733406425033247,0.0035462071363869443,49.0,56.0,-105.0
importsFuncionesConteo,0.16682636934991546,0.0032817434291290176,43.0,63.0,-106.0
histogramaP75,0.20034230453511293,0.0029432185224522664,35.0,75.0,-110.0
headerOptionalSizeofCode,0.2789271441530148,0.0024313366345476736,19.0,94.0,-113.0
headerOptionalMajorLinkerVersion,0.16778182177619505,0.0029522268839133558,42.0,74.0,-116.0
sectionPropsConteo,0.22455864284167637,0.002646498791455654,33.0,84.0,-117.0
stringsConteosClaves,0.0634197029650263,0.004377494620063354,80.0,38.0,-118.0
byteentropyMax,0.30079194378771024,0.0022665437669993132,16.0,103.0,-119.0
importsDll_vcruntime140_dll,0.03781147730211165,0.007153506891326511,98.0,23.0,-121.0
importsDll_api_ms_win_crt_runtime_l1_1_0_dll,0.04310486078995468,0.005956129528365561,93.0,29.0,-122.0
sectionNombre_reloc,0.04649260340455008,0.0052564150369989425,89.0,33.0,-122.0
byteentropySparsity,0.0598382748035291,0.004353140142346483,83.0,39.0,-122.0
histogramaMin,0.1213858073969345,0.0032274805371883147,60.0,65.0,-125.0
behavior_virus,0.031733800362891085,0.012895347312814887,110.0,16.0,-126.0
histogramaDesviacion,0.27894731655585536,0.002108211934185861,18.0,111.0,-129.0
sectionNombre_rsrc,0.07610493130496931,0.003482821521466396,73.0,58.0,-131.0
importsApi_getsystemtimeasfiletime,0.037576112250927274,0.0048878604188074245,100.0,34.0,-134.0
importsDll_api_ms_win_crt_heap_l1_1_0_dll,0.03637247704462454,0.005706976370661974,104.0,31.0,-135.0
headerCoffNumeroSecciones,0.1435049062957896,0.0026178830099810087,53.0,85.0,-138.0
sectionNombre_idata,0.06153082080483441,0.003539712311978221,82.0,57.0,-139.0
headerDosELfanew,0.14245883288485506,0.002608039929037295,54.0,87.0,-141.0
sectionTamanoTotal,0.23831643552194537,0.0021070857029025364,29.0,112.0,-141.0
stringsNumStrings,0.16862110361674398,0.002298167688970021,41.0,101.0,-142.0
histogramaMax,0.24942710719848904,0.002006779255267253,26.0,116.0,-142.0
sectionProp_cnt_code,0.11854726526517778,0.0027646426772073283,62.0,81.0,-143.0
headerOptionalSizeofImage,0.15640089760632758,0.002391424610228289,50.0,96.0,-146.0
sectionProp_mem_discardable,0.04051536355434471,0.003729181486337296,96.0,51.0,-147.0
headerOptionalSizeofInitializedData,0.19643672287924452,0.002130723147272429,37.0,110.0,-147.0
importsDllsConteo,0.07704790086137159,0.0029382052328020534,71.0,77.0,-148.0
byteentropyEnergia,0.26412760472231556,0.0018578666139371554,23.0,125.0,-148.0
importsApi_sleep,0.032384108380736576,0.00426996578971704,108.0,41.0,-149.0
importsApi_queryperformancecounter,0.03531246248588138,0.004113826385043646,106.0,43.0,-149.0
importsApi_writefile,0.03639709311864747,0.003925197884010031,103.0,46.0,-149.0
stringsClave_http,0.15191217197218743,0.002363805640512701,51.0,98.0,-149.0
sectionProp_mem_read,0.14091530678805753,0.0024261500495596764,55.0,95.0,-150.0
stringsPrintableDistDesviacion,0.30483986395973206,0.0016485263978025327,13.0,137.0,-150.0
sectionEntry_text,0.02088121554331024,0.008240605627583119,129.0,22.0,-151.0
stringsPrintableDistSparsity,0.046260330133933936,0.0033811413753339565,90.0,62.0,-152.0
stringsConteosMedia,0.23219707645366738,0.00192214557318881,31.0,121.0,-152.0
headerSubsystem_image_subsystem_windows_gui,0.025965018377668736,0.005539833201906301,121.0,32.0,-153.0
importsDll_kernel32_dll,0.027949061541372888,0.004544077141119339,117.0,37.0,-154.0
byteentropyP75,0.1700051498502788,0.0019558293295291,40.0,119.0,-159.0
stringsPrintables,0.2536909098745388,0.0016709503299889843,24.0,135.0,-159.0
headerDllChar_terminal_server_aware,0.011036431619227516,0.020627336833918326,156.0,8.0,-164.0
sectionNombre_bss,0.025522914316781886,0.004072812560936015,122.0,44.0,-166.0
stringsPrintableDistMin,0.04924269115126867,0.0027469840704912674,85.0,82.0,-167.0
histogramaEnergia,0.24374149527315558,0.0015977502546728718,28.0,140.0,-168.0
importsDll_api_ms_win_crt_string_l1_1_0_dll,0.028816061237511903,0.0034280289139972534,114.0,59.0,-173.0
stringsPrintableDistP25,0.10564693218727772,0.00220820990255427,66.0,107.0,-173.0
stringsClave_dos_msg,0.08727140018921853,0.0021416617880929425,69.0,109.0,-178.0
stringsConteosSuma,0.14056567999162906,0.0018868786767710618,56.0,123.0,-179.0
sectionProp_cnt_initialized_data,0.04763448286107108,0.002448186438312094,87.0,93.0,-180.0
packerConteo,0.02841720651310453,0.0032152020641917044,115.0,67.0,-182.0
importsApi_getprocaddress,0.03822383896300918,0.0026139894846723853,97.0,86.0,-183.0
stringsPrintableDistP50,0.11449330631249888,0.0019444805053693644,64.0,120.0,-184.0
stringsClave_url,0.08880561346695415,0.0019959692597495715,68.0,117.0,-185.0
headerSubsystem_image_subsystem_windows_cui,0.01419424572504302,0.0043282384449167145,146.0,40.0,-186.0
stringsPrintableDistMax,0.1590901049811122,0.0015939973229780085,48.0,142.0,-190.0
behavior_worm,0.018403880428800923,0.0037209733760834155,139.0,52.0,-191.0
stringsPrintableDistP75,0.13090833144106173,0.0017198456587213839,59.0,132.0,-191.0
behavior_downloader,0.02032928494415498,0.0034140536189866543,132.0,60.0,-192.0
ttpsTechnique_obfuscated_files_or_information_t1027_002,0.0485340166605579,0.0022325704773862504,86.0,106.0,-192.0
stringsConteosMax,0.11466922004339031,0.0017387593368910193,63.0,130.0,-193.0
stringsPrintableDistEnergia,0.164632538882151,0.0013941666497865172,44.0,149.0,-193.0
headerDllChar_guard_cf,0.013868458191547361,0.0038629522155574922,147.0,48.0,-195.0
importsApi_widechartomultibyte,0.01279860711297176,0.004022079467108886,152.0,45.0,-197.0
importsApi_getlasterror,0.014577906586178191,0.0036834971046138063,145.0,53.0,-198.0
importsDll_user32_dll,0.007772457567424729,0.00471166429422965,163.0,36.0,-199.0
importsApi_getcurrentprocess,0.021308728978209013,0.0030048572829275556,128.0,71.0,-199.0
stringsClave_exit,0.06600616050220043,0.0018986289713897157,77.0,122.0,-199.0
sectionNombre_text,0.04092114261634694,0.002233414822339499,95.0,105.0,-200.0
stringsClave_process,0.07464447247841433,0.001755783914934244,75.0,128.0,-203.0
stringsClave_window,0.0763115520058868,0.0017344924094305366,72.0,131.0,-203.0
importsApi_closehandle,0.019774481330743,0.0029550576198489266,133.0,73.0,-206.0
stringsClave_file,0.06494875658495047,0.0017434664036770889,78.0,129.0,-207.0
byteentropyP50,0.07592273083799461,0.0017160980121744536,74.0,133.0,-207.0
importsApi_unhandledexceptionfilter,0.0205871625480194,0.0028880265550167614,130.0,79.0,-209.0
sectionNombre_data,0.02470088859038122,0.0025988201641822042,124.0,88.0,-212.0
importsApi_getcurrentthreadid,0.007700510007434769,0.003801009697986216,165.0,49.0,-214.0
stringsClave_create,0.04998281879685362,0.001687966627181305,84.0,134.0,-218.0
importsApi_setunhandledexceptionfilter,0.02034623919558931,0.002587070183759574,131.0,90.0,-221.0
importsApi_getcurrentprocessid,0.00682744036251326,0.0036814599850837947,168.0,54.0,-222.0
headerOptionalSizeofHeaders,0.061971614613321124,0.0015819990706193226,81.0,143.0,-224.0
importsDll_api_ms_win_crt_stdio_l1_1_0_dll,0.026812044705399884,0.0020311508859386443,118.0,114.0,-232.0
stringsClave_thread,0.042352587638156525,0.001630117701136239,94.0,138.0,-232.0
stringsClave_command,0.0469998689441371,0.0014811418777824269,88.0,146.0,-234.0
stringsClave_system,0.02986406167135902,0.0017949231239100497,111.0,126.0,-237.0
sectionNombre_upx1,0.0195768695798344,0.0022764235576663646,136.0,102.0,-238.0
headerOptionalSizeofUninitializedData,0.14022109422238005,0.0007867438376509407,57.0,181.0,-238.0
stringsClave_delete,0.03720650418986993,0.0015972825464895361,102.0,141.0,-243.0
stringsClave_module,0.03770327063419332,0.0015251473225129767,99.0,144.0,-243.0
sectionNombre_upx0,0.01968351068304308,0.002029429205561899,134.0,115.0,-249.0
importsApi_terminateprocess,0.012878150628878648,0.002337224189396307,151.0,99.0,-250.0
mbcObjective_anti_static_analysis,0.044313633787367745,0.0010324351629112394,92.0,162.0,-254.0
authenticodeSelfSigned,0.011808856198212592,0.0023195556336682065,155.0,100.0,-255.0
sectionNombre_edata,0.0037536864727121255,0.003275083545505313,193.0,64.0,-257.0
stringsClave_security,0.026369671787582094,0.0016232596437655295,120.0,139.0,-259.0
headerCoffChar_large_address_aware,0.01180904725354126,0.002187640274049846,154.0,108.0,-262.0
generalStartByte2,0.029337341209749068,0.001278907631373215,112.0,152.0,-264.0
importsDll_comctl32_dll,0.005203378031124251,0.0024852637790601377,175.0,92.0,-267.0
importsDll_gdi32_dll,0.003853505084135067,0.0028317521621408328,188.0,80.0,-268.0
byteentropyP25,0.0253609070205727,0.0013935388102433949,123.0,150.0,-273.0
histogramaSparsity,0.02415199705671145,0.0012786163409554754,125.0,153.0,-278.0
stringsClave_environment,0.01498905446023846,0.0016504590738727033,143.0,136.0,-279.0
headerMachine_image_file_machine_i386,0.021892281162501526,0.0012234721596578284,126.0,155.0,-281.0
behavior_spyware,0.021768290646559718,0.0012074398928221982,127.0,156.0,-283.0
importsDll_shell32_dll,0.0027299148305108822,0.0029095196223828334,209.0,78.0,-287.0
filePropertyConteo,0.01613375421221641,0.0014430187764631977,142.0,147.0,-289.0
importsDll_advapi32_dll,0.0022548554274999244,0.0031335689883753314,223.0,68.0,-291.0
behavior_adware,0.004686420714171691,0.0021019404901920185,180.0,113.0,-293.0
capsNamespace_executable_pe_pdb,0.013661626674376315,0.0015099876902341927,148.0,145.0,-293.0
mbcConteo,0.035385533465190466,0.0007221759454154756,105.0,192.0,-297.0
capsConteo,0.03732715382439333,0.000695124786510681,101.0,198.0,-299.0
packer_nsis,0.00384198918171208,0.0019738943001916523,189.0,118.0,-307.0
importsDll_ole32_dll,0.0014387790683243473,0.002987353172124148,239.0,72.0,-311.0
mbcObjective_execution,0.010243026115655196,0.0012758618780516877,158.0,154.0,-312.0
headerMachine_image_file_machine_arm64,0.012503798177783576,0.001169410583125871,153.0,159.0,-312.0
capsNamespace_data_manipulation_encoding_xor,0.013195410064717361,0.0010233522414450132,150.0,164.0,-314.0
mbcObjectivesDistintos,0.019614118203136188,0.0007966674467689427,135.0,180.0,-315.0
sectionEntry_upx1,0.010897238234598428,0.0010509782157555165,157.0,161.0,-318.0
headerOptionalMagic,0.03360479590646981,0.0006127088868851775,107.0,211.0,-318.0
headerDosECp,0.016622290565281972,0.0008212374211844712,141.0,179.0,-320.0
ttpsTecnicasDistintas,0.028092586475960246,0.0006456827574338002,116.0,207.0,-323.0
packer_themida,0.007702787805123679,0.0011017689072205315,164.0,160.0,-324.0
headerCoffChar_bytes_reversed_lo,0.005354673767227647,0.0013241870393225943,174.0,151.0,-325.0
ttpsConteo,0.03192810184160155,0.0005783425749618959,109.0,217.0,-326.0
mbcObjective_defense_evasion,0.01848661037341981,0.0007160055994162778,138.0,193.0,-331.0
behavior_pua,0.003967696299087109,0.0011736012641150055,185.0,158.0,-343.0
mbcObjective_data,0.026763579160014483,0.0005484070611944308,119.0,226.0,-345.0
sectionProp_align_mask,0.0051827424964812074,0.0008998443741221377,176.0,172.0,-348.0
headerCoffChar_debug_stripped,0.004676952193952255,0.0009781664256625646,182.0,168.0,-350.0
ttpsTechnique_obfuscated_files_or_information_t1027,0.0186651729811369,0.0005867928444715124,137.0,214.0,-351.0
headerCoffTamanoOptionalHeader,0.029222852246522546,0.0004604244414706863,113.0,238.0,-351.0
sectionProp_align_8192bytes,0.00468352425561247,0.0008765076210930404,181.0,173.0,-354.0
importsDll_oleaut32_dll,0.0019914401567888707,0.0018811496893092671,232.0,124.0,-356.0
fileProperty_vb,0.007684206224789714,0.0007112245827960071,166.0,194.0,-360.0
weekId,4.141184461436964e-05,0.002939169364425776,288.0,76.0,-364.0
mbcBehavior_obfuscated_files_or_information_e1027_m02,0.013241484832556827,0.0005669767675865727,149.0,219.0,-368.0
ttpsTechnique_shared_modules_t1129,0.006097262600192055,0.0006736498353262457,169.0,201.0,-370.0
headerCoffChar_bytes_reversed_hi,0.002596266006265724,0.0011925488239057957,214.0,157.0,-371.0
capsCapability_link_function_at_runtime_on_windows,0.0027604703354071614,0.0009938049279000917,208.0,167.0,-375.0
mbcBehavior_allocate_memory_c0007,0.0033837717993001615,0.0008241248352816767,198.0,178.0,-376.0
sectionNombre_pdata,0.004884981419637224,0.0006922329310090952,177.0,199.0,-376.0
mbcObjective_file_system,0.006017408848749017,0.0006518322861962769,170.0,206.0,-376.0
capsCapability_write_file_on_windows,0.0030085722294019845,0.0008322312910624726,203.0,176.0,-379.0
headerCoffChar_32bit_machine,0.017327307085957644,0.0004358483477147136,140.0,241.0,-381.0
headerSubsystem_image_subsystem_native,0.0008746921147009257,0.0017673844375400431,260.0,127.0,-387.0
capsCapability_query_or_enumerate_registry_value,0.0022366071867341297,0.0010273776100320428,225.0,163.0,-388.0
sectionNombre_tls,0.0001439665760620823,0.002259018046723585,285.0,104.0,-389.0
capsNamespace_linking_runtime_linking,0.003761270188953336,0.0006994021283533609,192.0,197.0,-389.0
mbcObjective_process,0.0037679875179554845,0.0006616913529489837,191.0,203.0,-394.0
capsNamespace_load_code_pe,0.004556762164206418,0.0005965161611174895,183.0,212.0,-395.0
capsCapability_parse_pe_header,0.003301525764325408,0.0007071237396385466,200.0,196.0,-396.0
capsNamespace_host_interaction_registry,0.002566715190370772,0.0007618617500064116,215.0,184.0,-399.0
capsCapability_resolve_function_by_parsing_pe_exports,0.0026448198476280993,0.0007436128875167345,212.0,188.0,-400.0
ttpsTechnique_system_information_discovery_t1082,0.002861555604601884,0.0007111556896780791,205.0,195.0,-400.0
ttpsTechnique_modify_registry_t1112,0.0034852412208099537,0.0006612001885299421,196.0,204.0,-400.0
capsNamespace_host_interaction_file_system_write,0.0025064671811974026,0.0007463548346738972,216.0,186.0,-402.0
headerDosECparhdr,0.014976161403147392,0.0001790458251493231,144.0,259.0,-403.0
behavior_dropper,0.005451002197539356,0.0005008656951740201,173.0,235.0,-408.0
capsNamespace_host_interaction_file_system_delete,0.0021949957872147152,0.0007672145022262996,227.0,183.0,-410.0
packer_upx,0.007507759416425452,0.0004217011568165924,167.0,243.0,-410.0
sectionEntry_upx0,0.007866497024012542,0.00039906585470306775,162.0,248.0,-410.0
ttpsTechnique_file_and_directory_discovery_t1083,0.0031466992685709183,0.0006179603336292905,202.0,210.0,-412.0
headerDllChar_high_entropy_va,0.005626779285276884,0.0004326400333599318,171.0,242.0,-413.0
headerOptionalSectionAlignment,0.0033448401816869033,0.0005812169240912368,199.0,215.0,-414.0
capsCapability_query_environment_variable,0.0010687882121320769,0.0010121083545415097,251.0,165.0,-416.0
mbcBehavior_terminate_process_c0018,0.0021886615431589984,0.00073183432335862,229.0,190.0,-419.0
mbcBehavior_system_information_discovery_e1082,0.0024184150430608398,0.0006890183484320809,219.0,200.0,-419.0
behavior_stealer,0.0037901560543738277,0.0005360977609925221,190.0,229.0,-419.0
mbcBehavior_registry_c0036_003,0.0012233752391455077,0.0008667978312123442,247.0,174.0,-421.0
generalStartByte3,0.008319151138357128,0.00016044728388455728,161.0,261.0,-422.0
headerCoffChar_executable_image,0.010114105610971258,0.00011760547528029522,159.0,264.0,-423.0
headerSubsystem_image_subsystem_unknown,0.004781369022236026,0.0004185183902600272,179.0,245.0,-424.0
headerCoffChar_net_run_from_swap,0.0009223687816042325,0.0009004355022796473,256.0,171.0,-427.0
mbcObjective_memory,0.0008824033834005096,0.0009110044766645507,259.0,169.0,-428.0
headerMachine_image_file_machine_unknown,0.003461749983456608,0.0005278026883636677,197.0,231.0,-428.0
generalEsPe,0.009890109109277123,8.337210598131597e-05,160.0,270.0,-430.0
capsNamespace_host_interaction_environment_variable,0.002241910920930401,0.0006410719223570301,224.0,208.0,-432.0
mbcBehavior_file_and_directory_discovery_e1083,0.0010205021475604426,0.0007867396117925258,253.0,182.0,-435.0
capsNamespace_host_interaction_process_terminate,0.0012431647786810274,0.0007410361454652012,246.0,189.0,-435.0
ttpsTechnique_virtualization_sandbox_evasion_t1497_001,0.0035174382796652193,0.0004402175174029683,195.0,240.0,-435.0
headerCoffNumeroSimbolos,0.004844874599047699,0.00026634861239690117,178.0,257.0,-435.0
sectionEntry_reloc,0.005512901154964833,0.00012088483744113077,172.0,263.0,-435.0
capsNamespace_host_interaction_process,0.0026282865079765294,0.000550696235445091,213.0,224.0,-437.0
sectionNombre_crt,1.8380419329000475e-05,0.0014379987059399925,290.0,148.0,-438.0
ttpsTechnique_file_and_directory_permissions_modification_t1222,0.0022260254575556804,0.0005938604466360993,226.0,213.0,-439.0
behavior_passwordstealer,0.0038581837655162765,0.00029755758014652256,186.0,255.0,-441.0
behavior_injector,0.0038573487837931797,0.00027363472923594174,187.0,256.0,-443.0
capsCapability_delete_file,0.0026642026182737144,0.000480933925339493,211.0,236.0,-447.0
packer_vmprotect,0.0027135922902672416,0.0004523527499747438,210.0,239.0,-449.0
mbcObjective_communication,0.0024388604214433673,0.0005140770977723396,218.0,232.0,-450.0
mbcBehavior_create_file_c0016,0.0015865130151833107,0.0005783521490462409,236.0,216.0,-452.0
mbcObjective_cryptography,0.002363237220867509,0.0005094296189408498,220.0,234.0,-454.0
sectionEntry_rsrc,0.003703862270309166,0.0001674270821902923,194.0,260.0,-454.0
mbcBehavior_dynamic_analysis_evasion_b0003_003,0.00021957305429309848,0.0008348938156780885,282.0,175.0,-457.0
capsNamespace_host_interaction_file_system_files_list,0.001704401716547732,0.0005551647127862295,235.0,222.0,-457.0
behavior_packed,0.004067200327776632,4.255134520267503e-05,184.0,277.0,-461.0
capsNamespace_host_interaction_file_system_meta,0.0013108449657439625,0.0005727044645906724,244.0,218.0,-462.0
behavior_ransom,0.003275046488110611,0.00011212670898837038,201.0,266.0,-467.0
mbcObjective_anti_behavioral_analysis,0.0011555302110775045,0.0005669054312556307,249.0,220.0,-469.0
mbcObjective_discovery,0.0006798060248172089,0.0006722724420101418,268.0,202.0,-470.0
fileProperty_msil,0.0015032241243237987,0.0004754483567041399,237.0,237.0,-474.0
ttpsTechnique_command_and_scripting_interpreter_t1059,0.00018385502760520644,0.0007234363063099673,284.0,191.0,-475.0
headerCoffChar_removable_run_from_swap,0.0,0.001006302805772328,313.0,166.0,-479.0
capsCapability_create_process_on_windows,0.0,0.0009023247418320409,313.0,170.0,-483.0
capsNamespace_host_interaction_process_create,0.0009376387346622383,0.0005288873628483253,255.0,230.0,-485.0
fileProperty_codecpack,0.002474313691816832,9.575760343058562e-05,217.0,268.0,-485.0
headerMachine_image_file_machine_alpha,0.0013755853749384261,0.0004048885121091845,240.0,246.0,-486.0
ttpsTechnique_access_token_manipulation_t1134,0.0,0.0008297529148657254,313.0,177.0,-490.0
headerCoffChar_aggresive_ws_trim,0.0028597693200784757,1.4087694949506188e-05,206.0,287.0,-493.0
capsNamespace_host_interaction_file_system_read,0.00014394226286018608,0.0006359961624355241,286.0,209.0,-495.0
mbcObjective_operating_system,0.0,0.0007492696485641619,313.0,185.0,-498.0
authenticodeNoCountersigner,0.0,0.00074491419760365,313.0,187.0,-500.0
sectionEntry_data,0.002190441011209465,6.949869741476577e-05,228.0,272.0,-500.0
packer_enigmaprotector,0.002934780178732721,4.764067790777227e-06,204.0,299.0,-503.0
byteentropyMin,0.0011274140969521618,0.0003075246778568958,250.0,254.0,-504.0
authenticodeParseError,0.001975462258950511,7.387601836646916e-05,233.0,271.0,-504.0
mbcBehavior_create_process_c0017,0.0005294323117979172,0.000510748358732924,275.0,233.0,-508.0
headerSubsystem_image_subsystem_windows_ce_gui,0.0008894083852231116,0.0003881374323145393,258.0,251.0,-509.0
fileProperty_java,0.0023100262909538927,8.195388187340503e-06,221.0,291.0,-512.0
ttpsTechnique_process_discovery_t1057,0.0007929673509428081,0.00037888454089372246,263.0,252.0,-515.0
fileProperty_autoit,0.0013702410608760207,5.5851774972462516e-05,241.0,274.0,-515.0
capsNamespace_host_interaction_file_system,0.0,0.000652541870176397,313.0,205.0,-518.0
headerDllChar_appcontainer,0.0009527210612156889,0.00011678304757219774,254.0,265.0,-519.0
mbcObjective_impact,0.0006134793637286862,0.0003760724428815788,270.0,253.0,-523.0
packer_obsidium,0.0022832009656066354,3.844232042377999e-06,222.0,301.0,-523.0
headerDllChar_no_isolation,0.0005283949083219053,0.0003975149155676918,276.0,249.0,-525.0
mbcObjective_command_and_control,0.0002569762836255318,0.00040206738485519793,280.0,247.0,-527.0
fileProperty_shellcode,0.0014440967450937148,9.63967205680532e-06,238.0,289.0,-527.0
headerOptionalNumberOfRvasAndSizes,0.0008570389954263291,8.982700235928098e-05,261.0,269.0,-530.0
mbcObjective_collection,0.00020341425348613384,0.0003895233949107838,283.0,250.0,-533.0
exploit_ms17_010,0.0028330004034509138,1.5822224098968748e-07,207.0,326.0,-533.0
capsCapability_read_file_on_windows,0.0,0.0005625507436994867,313.0,221.0,-534.0
fileProperty_bat,0.002174321412242053,2.3724467303353995e-06,230.0,305.0,-535.0
capsCapability_check_if_file_exists,0.0,0.000553708985960297,313.0,223.0,-536.0
headerMachine_image_file_machine_thumb,0.000675603646060674,0.00010537095601804762,269.0,267.0,-536.0
capsCapability_get_common_file_path,0.0,0.0005504278427189002,313.0,225.0,-538.0
ttpsTechnique_application_window_discovery_t1010,0.0,0.0005390713802232647,313.0,227.0,-540.0
capsCapability_create_thread,0.0,0.0005380773683633227,313.0,228.0,-541.0
exploit_cve_2020_0601,0.0021575201830854596,1.5153446623721777e-06,231.0,314.0,-545.0
headerSubsystem_image_subsystem_windows_boot_application,0.0009174213523353014,5.2917378741390596e-06,257.0,296.0,-553.0
packer_petite,0.0013621172575062346,1.686730693902138e-06,242.0,311.0,-553.0
headerMachine_image_file_machine_armnt,0.0004753822763983173,4.55284412263034e-05,278.0,276.0,-554.0
headerSubsystem_image_subsystem_efi_application,0.0007642735397512812,9.237156167769891e-06,264.0,290.0,-554.0
headerCoffChar_16bit_machine,0.0012039515846931081,2.155767055240835e-06,248.0,306.0,-554.0
exploit_cve_2018_8120,0.001063986927950955,3.404195430585861e-06,252.0,303.0,-555.0
packer_nsanti,0.0013551439526318099,1.6439939513601582e-06,243.0,312.0,-555.0
ttpsTechnique_system_location_discovery_t1614,0.0,0.0004215961601638533,313.0,244.0,-557.0
behavior_coinminer,0.00025364287073181835,2.31323595527014e-05,281.0,281.0,-562.0
headerMachine_image_file_machine_powerpc,0.0005957942890097989,6.592701330732482e-06,271.0,294.0,-565.0
group_darkhotel,0.0013040875237237959,5.998484295817031e-07,245.0,320.0,-565.0
exploit_cve_2015_0003,0.001791843550006167,6.680176493278448e-21,234.0,333.0,-567.0
ttpsTechnique_create_or_modify_system_process_t1543_003,0.0,0.0002402766062256162,313.0,258.0,-571.0
sectionNombre_rdata,0.0,0.00014628269307206284,313.0,262.0,-575.0
headerMachine_image_file_machine_sh3,0.0005814675946425041,2.1465659246086647e-06,272.0,307.0,-579.0
group_strongpity,0.0005215956803741317,2.3905326481241688e-06,277.0,304.0,-581.0
exploit_cve_2017_0245,0.0005748767621702733,2.016407919881202e-06,274.0,308.0,-582.0
sectionEntry_idata,0.0007008004196937812,6.904075962678278e-07,267.0,318.0,-585.0
headerMachine_image_file_machine_arm,0.0,6.269271244819345e-05,313.0,273.0,-586.0
fileProperty_python,1.99553715962697e-05,5.272515377896535e-06,289.0,297.0,-586.0
headerDllChar_wdm_driver,0.0,5.1666041758956085e-05,313.0,275.0,-588.0
headerCoffChar_up_system_only,0.0004643898505720667,1.731749895925239e-06,279.0,310.0,-589.0
group_molerats,0.0005784375783715046,1.0113151955514268e-06,273.0,316.0,-589.0
headerDllChar_force_integrity,0.0,3.938373066518316e-05,313.0,278.0,-591.0
packer_nspack,0.0007009722897948212,1.891525142892852e-07,266.0,325.0,-591.0
exploitConteo,0.0,2.9971623499598985e-05,313.0,279.0,-592.0
fileProperty_powershell,0.0007365385949802405,1.5579170058972508e-07,265.0,327.0,-592.0
exploit_cve_2012_0152,0.0008041069538384793,6.185852416068213e-08,262.0,330.0,-592.0
headerMachine_image_file_machine_r4000,0.0,2.45740221682253e-05,313.0,280.0,-593.0
fileProperty_hllo,0.0,2.2623515616448054e-05,313.0,282.0,-595.0
