identificadorArchivo,archivoOrigen,rutaArchivo,arquitectura,particion,indiceChunk,filasValidas,inicioFuente,finFuente,inicioRegistroValido,finRegistroValido,rutaParquetChunk,columnas,fechaActualizacion,rutaChunk
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,10,1500,15000,16499,15000,16499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00010.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:22.117312+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00010.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,11,1500,16500,17999,16500,17999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00011.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:22.874678+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00011.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,12,1500,18000,19499,18000,19499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00012.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:23.491498+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00012.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,13,1500,19500,20999,19500,20999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00013.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:24.234420+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00013.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,14,1500,21000,22499,21000,22499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00014.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:24.953265+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00014.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,15,1500,22500,23999,22500,23999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00015.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:25.694569+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00015.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,16,1500,24000,25499,24000,25499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00016.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:26.417093+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00016.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,17,1500,25500,26999,25500,26999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00017.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:27.120148+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00017.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,18,1500,27000,28499,27000,28499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00018.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:27.846226+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00018.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,19,1500,28500,29999,28500,29999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00019.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:28.600572+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00019.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,20,1500,30000,31499,30000,31499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00020.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:29.235362+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00020.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,21,1500,31500,32999,31500,32999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00021.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:29.826278+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00021.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,22,1500,33000,34499,33000,34499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00022.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:30.579397+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00022.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,23,1500,34500,35999,34500,35999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00023.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:31.419140+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00023.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,24,1500,36000,37499,36000,37499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00024.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:32.141968+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00024.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,25,1500,37500,38999,37500,38999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00025.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:32.960076+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00025.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,26,1500,39000,40499,39000,40499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00026.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:33.644937+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00026.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,27,1500,40500,41999,40500,41999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00027.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:34.321846+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00027.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,28,1500,42000,43499,42000,43499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00028.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:35.067838+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00028.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,29,1500,43500,44999,43500,44999,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00029.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:35.743909+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00029.parquet
97902f7024e48d57,2024-09-22_2024-09-28_Win32_test.jsonl,data/ember2024/Win32_test/2024-09-22_2024-09-28_Win32_test.jsonl,Win32,test,30,1500,45000,46499,45000,46499,artefactos/ember2024/parquetBruto/97902f7024e48d57/chunk_00030.parquet,"['md5', 'sha1', 'sha256', 'tlsh', 'first_submission_date', 'last_analysis_date', 'detection_ratio', 'label', 'file_type', 'family', 'family_confidence', 'behavior', 'file_property', 'packer', 'exploit', 'group', 'histogram', 'byteentropy', 'strings', 'general', 'header', 'section', 'imports', 'exports', 'datadirectories', 'richheader', 'authenticode', 'pefilewarnings', 'week_id', 'caps', 'ttps', 'mbc', 'particion', 'arquitectura', 'archivoOrigen', 'rutaOrigen', 'identificadorArchivo', 'indiceChunk']",2026-03-14T15:06:36.388521+00:00,artefactos\ember2024\parquetBruto\97902f7024e48d57\chunk_00030.parquet
