valor,conteo
File and Directory Discovery [E1083.m01],48580
HTTP Communication [C0002.009],47293
HTTP Communication [C0002.003],46033
Encrypt Data [C0027],42503
Socket Communication [C0001.008],37715
Socket Communication [C0001.004],37398
Software Packing [F0001],34413
Encryption Key [C0028],34007
Debugger Detection [B0001.035],33624
Checksum [C0032.002],33541
HTTP Communication [C0002],32272
Non-Cryptographic Hash [C0030.006],32200
Obfuscated Files or Information [E1027.m03],31111
Debugger Detection [B0001.034],30431
Virtual Machine Detection [B0009.012],29771
Decrypt Data [C0031.001],29631
C2 Communication [B0030.003],28962
Crypto Library [C0059],28680
Console [C0033],27928
Environment Variable [C0034],27740
Decompress Data [C0025.003],26958
Socket Communication [C0001.013],26423
HTTP Communication [C0002.004],25582
Open Thread [C0066],25248
Decrypt Data [C0031],24182
Debugger Detection [B0001.036],22468
HTTP Communication [C0002.008],21813
Encrypt Data [C0027.004],18787
Taskbar Discovery [B0043],18376
Keylogging [F0002.001],16120
Cryptographic Hash [C0029.004],13902
HTTP Communication [C0002.006],13505
Encrypt Data [C0027.002],13137
HTTP Communication [C0002.013],12662
Software Packing [F0001.011],12498
Enumerate Threads [C0064],11715
Disable or Evade Security Tools [F0004.007],11698
Socket Communication [C0001.005],11474
Virtual Machine Detection [B0009.034],10248
Virtual Machine Detection [B0009.029],8686
Software Packing [F0001.010],8606
Disassembler Evasion [B0012],7099
ICMP Communication [C0014.002],5549
Encrypt Data [C0027.003],5517
Decompress Data [C0025.001],5304
Interprocess Communication [C0003],5028
HTTP Communication [C0002.005],5019
Encrypt Data [C0027.006],4777
Encrypt Data [C0027.011],4140
Debugger Detection [B0001.002],3635
Debugger Detection [B0001.031],3635
HTTP Communication [C0002.010],3617
Virtual Machine Detection [B0009.025],3531
Socket Communication [C0001.003],3402
Decompress Data [C0025],3005
Encrypt Data [C0027.005],2336
Decode Data [C0053.001],2303
Hijack Execution Flow [F0015.006],2140
Debugger Detection [B0001],2131
Wallpaper [C0035],2065
Disable or Evade Security Tools [F0004.008],1899
Encrypt Data [C0027.010],1854
Process Injection [E1055],1758
Debugger Evasion [B0002],1691
Disable or Evade Security Tools [F0004],1569
Emulator Detection [B0004],1377
Remote Access [B0022.001],1322
Encryption Key [C0028.001],1288
Install Driver [C0037],1131
Install Driver [C0037.001],1128
Sandbox Detection [B0007],1116
Load Driver [C0023.001],1090
Hijack Execution Flow [F0015.003],974
Debugger Detection [B0001.012],928
Encode Data [C0026],818
HTTP Communication [C0002.018],791
Disable or Evade Security Tools [F0004.005],760
HTTP Communication [C0002.011],739
Executable Code Obfuscation [B0032],687
Process Injection [E1055.m04],675
FTP Communication [C0004.001],661
FTP Communication [C0004.002],661
Self Deletion [F0007],635
Non-Cryptographic Hash [C0030],524
Cryptographic Hash [C0029.005],518
Debugger Detection [B0001.016],484
Modify Hardware [B0042.002],416
Simulate Hardware [C0057.001],404
HTTP Communication [C0002.016],301
Disk Wipe [F0014],271
HTTP Communication [C0002.015],259
Data Destruction [E1485.m04],253
Modify Hardware [B0042.001],231
Debugger Detection [B0001.010],210
Debugger Detection [B0001.024],158
Debugger Detection [B0001.005],135
Socket Communication [C0001.014],124
Disable or Evade Security Tools [F0004.009],121
Decrypt Data [C0031.010],113
Encrypt Data [C0027.013],100
Software Packing [F0001.009],78
Process Injection [E1055.m05],71
Free Memory [C0044],62
DNS Communication [C0011.002],49
